,SPY US Equity,SPY US Equity,SPY US Equity,SPY US Equity
DATES,DROPNA(PX_OPEN),DROPNA(PX_HIGH),DROPNA(PX_LOW),DROPNA(PX_LAST)
2/23/2012,135.96,136.73,135.5,136.631
2/24/2012,136.93,137.2,136.63,136.93
2/27/2012,136.02,137.53,135.8,137.16
2/28/2012,137.2,137.72,136.93,137.559
2/29/2012,137.76,138.19,136.54,137.02
3/1/2012,137.31,137.99,136.9311875,137.73
3/2/2012,137.64,137.82,137,137.312
3/5/2012,137.1,137.2,136.28,136.75
3/6/2012,135.35,135.43,134.36,134.75
3/7/2012,135.06,135.91,134.93,135.69
3/8/2012,136.52,137.32,136.24,137.04
3/9/2012,137.3,137.93,137.13,137.57
3/12/2012,137.55,137.76,137.09,137.58
3/13/2012,138.32,140.13,138.09,140.062
3/14/2012,140.1,140.445,139.48,139.91
3/15/2012,140.12,140.78,139.76,140.72
3/16/2012,140.36,140.48,140,140.3
3/19/2012,140.21,141.28,140.11,140.85
3/20/2012,140.05,140.61,139.64,140.44
3/21/2012,140.52,140.65,139.92,140.21
3/22/2012,139.18,139.55,138.74,139.2
3/23/2012,139.32,139.81,138.55,139.65
3/26/2012,140.65,141.61,140.6,141.61
3/27/2012,141.74,141.83,141.08,141.17
3/28/2012,141.1,141.32,139.64,140.47
3/29/2012,139.64,140.493375,139.09,140.23
3/30/2012,140.92,141.05,140.05,140.81
4/2/2012,140.64,142.21,140.36,141.84
4/3/2012,141.64,141.882625,140.43,141.26
4/4/2012,140.22,140.339,139.34,139.86
4/5/2012,139.38,140.2,139.26,139.79
4/9/2012,138.03,139.844375,137.84,138.22
4/10/2012,137.95,138.34,135.76,135.9
4/11/2012,137.29,137.54,136.75,137
4/12/2012,137.13,138.9,137.03,138.79
4/13/2012,138.47,138.8168125,137.01,137.14
4/16/2012,137.84,138.04,136.58,137.05
4/17/2012,137.84,139.36,137.698,139.082
4/18/2012,138.46,139.08,138.38,138.61
4/19/2012,138.63,139.15,137.07,137.72
4/20/2012,138.33,138.83,137.87,137.95
4/23/2012,136.54,136.91,135.94,136.79
4/24/2012,136.91,137.66,136.8,137.31
4/25/2012,138.65,139.25,138.53,139.19
4/26/2012,138.89,140.32,138.81,140.16
4/27/2012,140.58,140.79,139.8,140.39
4/30/2012,140.11,140.21,139.49,139.87
5/1/2012,139.79,141.66,139.63,140.74
5/2/2012,139.92,140.46,139.46,140.325
5/3/2012,140.34,140.45,138.99,139.25
5/4/2012,138.515,139.3011875,136.92,137
5/7/2012,136.51,137.56,136.46,137.1
5/8/2012,136.28,136.77,134.92,136.55
5/9/2012,135.1,136.61,134.49,135.74
5/10/2012,136.68,136.85,135.71,136.02
5/11/2012,135.17,136.87,135.11,135.61
5/14/2012,134.31,135.614375,133.91,134.11
5/15/2012,134.02,134.81,133.13,133.34
5/16/2012,133.94,134.55,132.8,132.829
5/17/2012,132.86,133.02,130.79,130.86
5/18/2012,131.37,131.6,129.55,129.74
5/21/2012,130.16,132.02,129.95,131.97
5/22/2012,132.31,133.23,131.34,132.2
5/23/2012,131.25,132.46,129.99,132.27
5/24/2012,132.63,132.84,131.42,132.53
5/25/2012,132.48,132.85,131.78,132.1
5/29/2012,133.16,133.93,131.17,133.7
5/30/2012,132.56,133.692375,131.49,131.76
5/31/2012,131.71,132.45,130.34,131.47
6/1/2012,129.41,131.5041875,128.16,128.16
6/4/2012,128.39,128.74,127.135,128.1
6/5/2012,127.85,129.26,127.78,129.07
6/6/2012,129.97,132.03,129.93,131.97
6/7/2012,133.47,133.53,131.78,132.05
6/8/2012,131.71,133.125,131.29,133.1
6/11/2012,134.17,134.25,131.28,131.415
6/12/2012,131.79,133.01,131.16,132.92
6/13/2012,132.53,133.36,131.62,132.07
6/14/2012,132.34,134,131.98,133.47
6/15/2012,133.38,134.26,133.1,134.14
6/18/2012,133.58,134.73,133.28,134.4
6/19/2012,135.08,136.25,134.371375,135.7
6/20/2012,135.71,136.1,134.27,135.48
6/21/2012,135.64,135.78,132.33,132.44
6/22/2012,133.13,133.71,132.62,133.46
